email,name,designation,category,tags,case,source,mobile,reject_reason
nasima.shaikh@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ncov2019@gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
netra.mankame@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
nilima.vichare@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
nitin.palkar@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
nja@nja.gov.in,nja.gov.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
nk.tongar@gov.in,Shri Narendra Kumar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
occyber@cidwestbengal.gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
pawar.shankar@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
pdj-panaji.goa@nic.in,DISTRICT,,Police/Government,goa|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
phishing-report@us-cert.gov,Report Phishing,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
piyush@bjp.org,piyush,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
pr_varghese@saraswatbank.com,saraswatbank,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
prachi.jambhekar@gov.in,Authority,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
pradnya.mahale@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
prakash.gadre@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
prakash.ghoderao@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
pramod.choudhari@gov.in,11,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
prashant.unhavane@nic.in,2,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
pravash.panday2@gov.in,Shri Pravash Prashun Pandey,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
prem.chand77@nic.in,Shri Prem Chand,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
proto.agd-bhc@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
ps.amboli.mum@mahapolice.gov.in,"Society,",Amboli Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.azadmaidan.mum@mahapolice.gov.in,ps.azadmaidan.mum,Azad Maidan Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.bandra.mum@mahapolice.gov.in,ps.bandra.mum,Bandra Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.bhandup.mum@mahapolice.gov.in,11,Bhandup Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.bhoiwada.mum@mahapolice.gov.in,ps.bhoiwada.mum,Bhoiwada Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.bkc.mum@mahapolice.gov.in,8,BKC Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.borivali.mum@mahapolice.gov.in,13,Borivali Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.byculla.mum@mahapolice.gov.in,14,Byculla Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.chembur.mum@mahapolice.gov.in,"Marg,",Chembur Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.colaba.mum@mahapolice.gov.in,Singh,Colaba Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.cuffeparade.mum@mahapolice.gov.in,19,Cuffe Parade Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.dadar.mum@mahapolice.gov.in,ps.dadar.mum,Dadar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.dahisar.mum@mahapolice.gov.in,ps.dahisar.mum,Dahisar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.dharavi.mum@mahapolice.gov.in,25,Dharavi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.dindoshi.mum@mahapolice.gov.in,ps.dindoshi.mum,Dindoshi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.dongri.mum@mahapolice.gov.in,ps.dongri.mum,Dongri Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.gamdevi.mum@mahapolice.gov.in,ps.gamdevi.mum,Gamdevi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.ghatkopar.mum@mahapolice.gov.in,ps.ghatkopar.mum,Ghatkopar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.gorai.mum@mahapolice.gov.in,W,Gorai Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.goregaon.mum@mahapolice.gov.in,ps.goregaon.mum,Goregaon Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.goregaoneast.mum@mahapolice.gov.in,ps.goregaoneast.mum,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.kalachowky.mum@mahapolice.gov.in,ps.kalachowky.mum,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.kandivali.mum@mahapolice.gov.in,ps.kandivali.mum,Kandivali Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.khar.mum@mahapolice.gov.in,40,Khar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.kherwadi.mum@mahapolice.gov.in,ps.kherwadi.mum,Kherwadi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.kurar.mum@mahapolice.gov.in,ps.kurar.mum,Kurar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.malad.mum@mahapolice.gov.in,50,Malad Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.malbarhill.mum@mahapolice.gov.in,49,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.malvani.mum@mahapolice.gov.in,ps.malvani.mum,Malvani Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.marinedrive.mum@mahapolice.gov.in,ps.marinedrive.mum,Marine Drive Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.matunga.mum@mahapolice.gov.in,ps.matunga.mum,Matunga Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.meghwadi.mum@mahapolice.gov.in,55,Meghwadi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.mhb.mum@mahapolice.gov.in,ps.mhb.mum,MHB Colony Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.midc.mum@mahapolice.gov.in,"Hospital,",,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.mra.mum@mahapolice.gov.in,47,MRA Marg Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.mumbaisagari.mum@mahapolice.gov.in,ps.mumbaisagari.mum,Mumbai Sagari-1 (Marine) Police Station,Police/Government,govt-state|mumbai-press|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.navghar.mum@mahapolice.gov.in,59,Navghar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.nehrunagar.mum@mahapolice.gov.in,60,Nehru Nagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.nirmalnagar.mum@mahapolice.gov.in,ps.nirmalnagar.mum,Nirmal Nagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.nmjoshimarg.mum@mahapolice.gov.in,ps.nmjoshimarg.mum,N.M. Joshi Marg Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.pantnagar.mum@mahapolice.gov.in,ps.pantnagar.mum,Pantnagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.parksite.mum@mahapolice.gov.in,ps.parksite.mum,Parksite Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.powai.mum@mahapolice.gov.in,ps.powai.mum,Powai Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.rakmarg.mum@mahapolice.gov.in,67,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.rcf.mum@mahapolice.gov.in,ps.rcf.mum,RCF Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.sakinaka.mum@mahapolice.gov.in,No.,Sakinaka Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.santacruz.mum@mahapolice.gov.in,72,Santacruz Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.sewri.mum@mahapolice.gov.in,ps.sewri.mum,Sewri/Shivdi Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.shahunagar.mum@mahapolice.gov.in,ps.shahunagar.mum,Shahu Nagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.shivajinagar.mum@mahapolice.gov.in,ps.shivajinagar.mum,Shivaji Nagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.shivajipark.mum@mahapolice.gov.in,ps.shivajipark.mum,Shivaji Park Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.sion.mum@mahapolice.gov.in,ps.sion.mum,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.tardeo.mum@mahapolice.gov.in,ps.tardeo.mum,Tardeo Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.trombay.mum@mahapolice.gov.in,ps.trombay.mum,Trombay Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.vakola.mum@mahapolice.gov.in,ps.vakola.mum,Vakola Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.varsova.mum@mahapolice.gov.in,ps.varsova.mum,,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
ps.vbnagar.mum@mahapolice.gov.in,ps.vbnagar.mum,Vinoba Bhave Nagar Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.vileparle.mum@mahapolice.gov.in,87,Vile Parle Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.worli.mum@mahapolice.gov.in,ps.worli.mum,Worli Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.wtt.mum@mahapolice.gov.in,"Office,",Wadala Truck Terminal Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
ps.yellowgate.mum@mahapolice.gov.in,91,Yellow Gate Police Station,Police/Government,govt-state|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
psec.industry@maharashtra.gov.in,3,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
pune.bench@itat.nic.in,FAX,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
punepolice@vsnl.com,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
r.chhabra@nic.in,Shri Rahul Chhabra,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rajesh.kumar72@nic.in,Shri Rajesh Sagar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rajinder.kashyap@gov.in,Shri Rajinder Kumar Kashyap,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
rajivs@sansad.nic.in,rajivs,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rajnipatiloffice@gmail.com,rajnipatiloffice,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ramesh.waghmare@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ramesh.yeole@nic.in,(Nagpur Pune),,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ravindra.gadhari@nic.in,33,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ravindra.khedkar@nic.in,DIRECTOR(ACCOUNTS),,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
rc.ahuja@nic.in,Shri R.C. Ahuja,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rdrastogi.asg@ggmail.com,rdrastogi.asg,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,dead_domain
reg-high.goa@nic.in,E-MAIL,"Registrar, High Court of Bombay at Goa",Police/Government,court-high|goa|govt-state|high-court-beat|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
registrar-sat@nic.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
registrar.mahareat@maharashtra.gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
registrar.matmumbai@maharashtra.gov.in,yahoo.co.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
regos-bhc@nic.in,Registrar,"Registrar, Original Side, Bombay High Court",Police/Government,court-high|govt-state|high-court-beat|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rgestt-bhc@nic.in,Personnel,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rgjudl-bhc@nic.in,Judicial-I,,Police/Government,court-lower|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rk.katiyar@nic.in,Shri R.K. Katiyar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
rndhoot@sansad.nic.in,rndhoot,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
rti.support@maharashtra.gov.in,rti.support,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
s.raut@sansad.nic.in,s.raut,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
sachin_koparde@saraswatbank.com,saraswatbank,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
sadhana.panwar@incometax.gov.in,JDIT,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
saguna.thengil@nic.in,9,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
sambhaji.chhatrapati@sansad.nic.in,sambhaji.chhatrapati,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sangeeta.lande@nic.in,10,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
sanjay.gambre@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sanjay.kale@nic.in,41,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sanjay.patil65@nic.in,Sanjay,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
santosh.rokade76@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
scc-mumbai@bhc.gov.in,FAX,,Police/Government,court-lower|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
secylaw-dla@nic.in,E-MAIL,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
shani.ks@nic.in,Shri Kulwant Singh Shani,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
sharma.anil@nic.in,Shri Anil Sharma,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
shashikant.salunkhe@nic.in,15,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sho_cybercrimes@cyb.tspolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,host_not_reachable
shobha.mahanur@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sidhu.rajender@nic.in,Shri Rajender Singh Sidhu,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
singhs11@ias.nic.in,Desk,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sinha.praveen@gov.in,(IPS-GJ-88),,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
smruti.malandkar@nic.in,MALANDKAR,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sp.dgcontrolroom@mahapolice.gov.in,23,"Superintendent of Police, DG Control Room, Mumbai",Police/Government,govt-state|mumbai-press|police-hq|sp-desk,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
sp1cidcb.orpol@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
spadmin.acb@karnataka.gov.in,SP,,Police/Government,govt-state|police-hq|sp-desk,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
speast.acb@karnataka.gov.in,speast.acb,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
speowunit@gmail.com,Mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
sphq.acb.acb@karnataka.gov.in,SP,,Police/Government,govt-state|police-hq|sp-desk,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
spneacb@karnataka.gov.in,SP,,Police/Government,govt-state|police-hq|sp-desk,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
spnorth.acb@karnatak.gov.in,SP,,Police/Government,govt-state|police-hq|sp-desk,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
srdyaigest1.dgoffice@mahapolice.gov.in,SR.,"Senior Deputy AIG, Establishment-1, DGP Office",Police/Government,dgp-desk|govt-state|ig-desk|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
srdyaigpen.dgoffice@mahapolice.gov.in,SR.,"Senior Deputy AIG, Pension, DGP Office",Police/Government,dgp-desk|govt-state|ig-desk|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
ssp_cod@assampolice.com,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
sspcrimejmu@jkpolice.gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
sspcrmjmu-jk@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
stenocgh1.rb-mh@nic.in,Officer,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
stgeorges083@gmail.com,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
subhash.more@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
suhas.shidhaye@saraswatbank.com,Suhas Shidhaye,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
supdtdlsa.satdc-mh@gov.in,STD,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
supdtest.au-mh@gov.in,"gov.in,",,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
supt.rb-mh@nic.in,2,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
suresh.redekar@nic.in,5,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
sushma.kambli@nic.in,7,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
tdsat@gov.in,FAX,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
tushar.hirlekar@nic.in,43,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
udaysamant.minister@nic.in,Industries,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
uddhav.walunj@nic.in,4,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
umakant.wakdikar@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
upalokayukta@maharashtra.gov.in,"maharashtra.gov.in,",,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
us.edurb-mh@gov.in,Officer,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
user1_hrd@saraswatbank.com,saraswatbank,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
user_retailbanking@saraswatbank.com,saraswatbank,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
vandana.chavan@sansad.nic.in,vandana.chavan,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
vasant.kulkarni@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
vibha.aparab@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
vinay.prabhakar@sansad.nic.in,vinay.prabhakar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
vinod.mendhe@nic.in,9,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
vivekananda.kale@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
wardha@mah.nic.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,host_not_reachable
addsp.jalgon@mahapolice.gov.in,15,,Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Indian_Ministers.mbm,,user_not_found
addsp.jalna@mahapolice.gov.in,16,,Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Indian_Ministers.mbm,,user_not_found
